left_term,right_term,left_h_rank,right_h_rank,pair_h_rank,left_nuisance_rank,right_nuisance_rank,pair_nuisance_rank,h_compression,nuisance_compression
t01,t02,1,1,2,1,1,2,0,0
t01,t03,1,1,2,1,1,2,0,0
t01,t04,1,1,2,1,1,2,0,0
t01,t05,1,1,2,1,1,2,0,0
t01,t06,1,1,2,1,1,2,0,0
t01,t07,1,1,2,1,1,2,0,0
t01,t08,1,1,2,1,1,2,0,0
t01,t09,1,1,2,1,1,2,0,0
t01,t10,1,1,2,1,1,2,0,0
t01,t11,1,1,2,1,1,2,0,0
t01,t12,1,1,2,1,1,2,0,0
t01,t13,1,1,2,1,1,2,0,0
t01,t14,1,1,2,1,1,2,0,0
t01,t15,1,1,2,1,1,2,0,0
t01,t16,1,1,2,1,1,2,0,0
t01,t17,1,1,2,1,1,2,0,0
t01,t18,1,1,2,1,1,2,0,0
t01,t19,1,1,2,1,1,2,0,0
t01,t20,1,1,2,1,1,2,0,0
t01,t21,1,1,2,1,1,2,0,0
t01,t22,1,1,2,1,1,2,0,0
t01,t23,1,1,2,1,1,2,0,0
t02,t01,1,1,2,1,1,2,0,0
t02,t03,1,1,2,1,1,2,0,0
t02,t04,1,1,2,1,1,2,0,0
t02,t05,1,1,2,1,1,2,0,0
t02,t06,1,1,2,1,1,2,0,0
t02,t07,1,1,2,1,1,2,0,0
t02,t08,1,1,2,1,1,2,0,0
t02,t09,1,1,2,1,1,2,0,0
t02,t10,1,1,2,1,1,2,0,0
t02,t11,1,1,2,1,1,2,0,0
t02,t12,1,1,2,1,1,2,0,0
t02,t13,1,1,2,1,1,2,0,0
t02,t14,1,1,2,1,1,2,0,0
t02,t15,1,1,2,1,1,2,0,0
t02,t16,1,1,2,1,1,2,0,0
t02,t17,1,1,2,1,1,2,0,0
t02,t18,1,1,2,1,1,2,0,0
t02,t19,1,1,2,1,1,2,0,0
t02,t20,1,1,2,1,1,2,0,0
t02,t21,1,1,2,1,1,2,0,0
t02,t22,1,1,2,1,1,2,0,0
t02,t23,1,1,2,1,1,2,0,0
t03,t01,1,1,2,1,1,2,0,0
t03,t02,1,1,2,1,1,2,0,0
t03,t04,1,1,2,1,1,2,0,0
t03,t05,1,1,2,1,1,2,0,0
t03,t06,1,1,2,1,1,2,0,0
t03,t07,1,1,2,1,1,2,0,0
t03,t08,1,1,2,1,1,2,0,0
t03,t09,1,1,2,1,1,2,0,0
t03,t10,1,1,2,1,1,2,0,0
t03,t11,1,1,2,1,1,2,0,0
t03,t12,1,1,2,1,1,2,0,0
t03,t13,1,1,2,1,1,2,0,0
t03,t14,1,1,2,1,1,2,0,0
t03,t15,1,1,2,1,1,2,0,0
t03,t16,1,1,2,1,1,2,0,0
t03,t17,1,1,2,1,1,2,0,0
t03,t18,1,1,2,1,1,2,0,0
t03,t19,1,1,2,1,1,2,0,0
t03,t20,1,1,2,1,1,2,0,0
t03,t21,1,1,2,1,1,2,0,0
t03,t22,1,1,2,1,1,2,0,0
t03,t23,1,1,2,1,1,2,0,0
t04,t01,1,1,2,1,1,2,0,0
t04,t02,1,1,2,1,1,2,0,0
t04,t03,1,1,2,1,1,2,0,0
t04,t05,1,1,2,1,1,2,0,0
t04,t06,1,1,2,1,1,2,0,0
t04,t07,1,1,2,1,1,2,0,0
t04,t08,1,1,2,1,1,2,0,0
t04,t09,1,1,2,1,1,2,0,0
t04,t10,1,1,2,1,1,2,0,0
t04,t11,1,1,2,1,1,2,0,0
t04,t12,1,1,2,1,1,2,0,0
t04,t13,1,1,2,1,1,2,0,0
t04,t14,1,1,2,1,1,2,0,0
t04,t15,1,1,2,1,1,2,0,0
t04,t16,1,1,2,1,1,2,0,0
t04,t17,1,1,2,1,1,2,0,0
t04,t18,1,1,2,1,1,2,0,0
t04,t19,1,1,2,1,1,2,0,0
t04,t20,1,1,2,1,1,2,0,0
t04,t21,1,1,2,1,1,2,0,0
t04,t22,1,1,2,1,1,2,0,0
t04,t23,1,1,2,1,1,2,0,0
t05,t01,1,1,2,1,1,2,0,0
t05,t02,1,1,2,1,1,2,0,0
t05,t03,1,1,2,1,1,2,0,0
t05,t04,1,1,2,1,1,2,0,0
t05,t06,1,1,2,1,1,2,0,0
t05,t07,1,1,2,1,1,2,0,0
t05,t08,1,1,2,1,1,2,0,0
t05,t09,1,1,2,1,1,2,0,0
t05,t10,1,1,2,1,1,2,0,0
t05,t11,1,1,2,1,1,2,0,0
t05,t12,1,1,2,1,1,2,0,0
t05,t13,1,1,2,1,1,2,0,0
t05,t14,1,1,2,1,1,2,0,0
t05,t15,1,1,2,1,1,2,0,0
t05,t16,1,1,2,1,1,2,0,0
t05,t17,1,1,2,1,1,2,0,0
t05,t18,1,1,2,1,1,2,0,0
t05,t19,1,1,2,1,1,2,0,0
t05,t20,1,1,2,1,1,2,0,0
t05,t21,1,1,2,1,1,2,0,0
t05,t22,1,1,2,1,1,2,0,0
t05,t23,1,1,2,1,1,2,0,0
t06,t01,1,1,2,1,1,2,0,0
t06,t02,1,1,2,1,1,2,0,0
t06,t03,1,1,2,1,1,2,0,0
t06,t04,1,1,2,1,1,2,0,0
t06,t05,1,1,2,1,1,2,0,0
t06,t07,1,1,2,1,1,2,0,0
t06,t08,1,1,2,1,1,2,0,0
t06,t09,1,1,2,1,1,2,0,0
t06,t10,1,1,2,1,1,2,0,0
t06,t11,1,1,2,1,1,2,0,0
t06,t12,1,1,2,1,1,2,0,0
t06,t13,1,1,2,1,1,2,0,0
t06,t14,1,1,2,1,1,2,0,0
t06,t15,1,1,2,1,1,2,0,0
t06,t16,1,1,2,1,1,2,0,0
t06,t17,1,1,2,1,1,2,0,0
t06,t18,1,1,2,1,1,2,0,0
t06,t19,1,1,2,1,1,2,0,0
t06,t20,1,1,2,1,1,2,0,0
t06,t21,1,1,2,1,1,2,0,0
t06,t22,1,1,2,1,1,2,0,0
t06,t23,1,1,2,1,1,2,0,0
t07,t01,1,1,2,1,1,2,0,0
t07,t02,1,1,2,1,1,2,0,0
t07,t03,1,1,2,1,1,2,0,0
t07,t04,1,1,2,1,1,2,0,0
t07,t05,1,1,2,1,1,2,0,0
t07,t06,1,1,2,1,1,2,0,0
t07,t08,1,1,2,1,1,2,0,0
t07,t09,1,1,2,1,1,2,0,0
t07,t10,1,1,2,1,1,2,0,0
t07,t11,1,1,2,1,1,2,0,0
t07,t12,1,1,2,1,1,2,0,0
t07,t13,1,1,2,1,1,2,0,0
t07,t14,1,1,2,1,1,2,0,0
t07,t15,1,1,2,1,1,2,0,0
t07,t16,1,1,2,1,1,2,0,0
t07,t17,1,1,2,1,1,2,0,0
t07,t18,1,1,2,1,1,2,0,0
t07,t19,1,1,2,1,1,2,0,0
t07,t20,1,1,2,1,1,2,0,0
t07,t21,1,1,2,1,1,2,0,0
t07,t22,1,1,2,1,1,2,0,0
t07,t23,1,1,2,1,1,2,0,0
t08,t01,1,1,2,1,1,2,0,0
t08,t02,1,1,2,1,1,2,0,0
t08,t03,1,1,2,1,1,2,0,0
t08,t04,1,1,2,1,1,2,0,0
t08,t05,1,1,2,1,1,2,0,0
t08,t06,1,1,2,1,1,2,0,0
t08,t07,1,1,2,1,1,2,0,0
t08,t09,1,1,2,1,1,2,0,0
t08,t10,1,1,2,1,1,2,0,0
t08,t11,1,1,2,1,1,2,0,0
t08,t12,1,1,2,1,1,2,0,0
t08,t13,1,1,2,1,1,2,0,0
t08,t14,1,1,2,1,1,2,0,0
t08,t15,1,1,2,1,1,2,0,0
t08,t16,1,1,2,1,1,2,0,0
t08,t17,1,1,2,1,1,2,0,0
t08,t18,1,1,2,1,1,2,0,0
t08,t19,1,1,2,1,1,2,0,0
t08,t20,1,1,2,1,1,2,0,0
t08,t21,1,1,2,1,1,2,0,0
t08,t22,1,1,2,1,1,2,0,0
t08,t23,1,1,2,1,1,2,0,0
t09,t01,1,1,2,1,1,2,0,0
t09,t02,1,1,2,1,1,2,0,0
t09,t03,1,1,2,1,1,2,0,0
t09,t04,1,1,2,1,1,2,0,0
t09,t05,1,1,2,1,1,2,0,0
t09,t06,1,1,2,1,1,2,0,0
t09,t07,1,1,2,1,1,2,0,0
t09,t08,1,1,2,1,1,2,0,0
t09,t10,1,1,2,1,1,2,0,0
t09,t11,1,1,2,1,1,2,0,0
t09,t12,1,1,2,1,1,2,0,0
t09,t13,1,1,2,1,1,2,0,0
t09,t14,1,1,2,1,1,2,0,0
t09,t15,1,1,2,1,1,2,0,0
t09,t16,1,1,2,1,1,2,0,0
t09,t17,1,1,2,1,1,2,0,0
t09,t18,1,1,2,1,1,2,0,0
t09,t19,1,1,2,1,1,2,0,0
t09,t20,1,1,2,1,1,2,0,0
t09,t21,1,1,2,1,1,2,0,0
t09,t22,1,1,2,1,1,2,0,0
t09,t23,1,1,2,1,1,2,0,0
