action_id,img_0,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8
0,0,1,2,3,4,5,6,7,8
1,0,2,1,3,5,4,6,8,7
2,1,0,2,4,3,5,7,6,8
3,1,2,0,4,5,3,7,8,6
4,2,0,1,5,3,4,8,6,7
5,2,1,0,5,4,3,8,7,6
6,0,1,2,3,4,5,6,7,8
7,0,2,1,3,5,4,6,8,7
8,1,0,2,4,3,5,7,6,8
9,1,2,0,4,5,3,7,8,6
10,2,0,1,5,3,4,8,6,7
11,2,1,0,5,4,3,8,7,6
12,0,1,2,3,4,5,6,7,8
13,0,2,1,3,5,4,6,8,7
14,1,0,2,4,3,5,7,6,8
15,1,2,0,4,5,3,7,8,6
16,2,0,1,5,3,4,8,6,7
17,2,1,0,5,4,3,8,7,6
18,0,1,2,3,4,5,6,7,8
19,0,2,1,3,5,4,6,8,7
20,1,0,2,4,3,5,7,6,8
21,1,2,0,4,5,3,7,8,6
22,2,0,1,5,3,4,8,6,7
23,2,1,0,5,4,3,8,7,6
24,0,1,2,3,4,5,6,7,8
25,0,2,1,3,5,4,6,8,7
26,1,0,2,4,3,5,7,6,8
27,1,2,0,4,5,3,7,8,6
28,2,0,1,5,3,4,8,6,7
29,2,1,0,5,4,3,8,7,6
30,0,1,2,3,4,5,6,7,8
31,0,2,1,3,5,4,6,8,7
32,1,0,2,4,3,5,7,6,8
33,1,2,0,4,5,3,7,8,6
34,2,0,1,5,3,4,8,6,7
35,2,1,0,5,4,3,8,7,6
36,0,1,2,6,7,8,3,4,5
37,0,2,1,6,8,7,3,5,4
38,1,0,2,7,6,8,4,3,5
39,1,2,0,7,8,6,4,5,3
40,2,0,1,8,6,7,5,3,4
41,2,1,0,8,7,6,5,4,3
42,0,1,2,6,7,8,3,4,5
43,0,2,1,6,8,7,3,5,4
44,1,0,2,7,6,8,4,3,5
45,1,2,0,7,8,6,4,5,3
46,2,0,1,8,6,7,5,3,4
47,2,1,0,8,7,6,5,4,3
48,0,1,2,6,7,8,3,4,5
49,0,2,1,6,8,7,3,5,4
50,1,0,2,7,6,8,4,3,5
51,1,2,0,7,8,6,4,5,3
52,2,0,1,8,6,7,5,3,4
53,2,1,0,8,7,6,5,4,3
54,0,1,2,6,7,8,3,4,5
55,0,2,1,6,8,7,3,5,4
56,1,0,2,7,6,8,4,3,5
57,1,2,0,7,8,6,4,5,3
58,2,0,1,8,6,7,5,3,4
59,2,1,0,8,7,6,5,4,3
60,0,1,2,6,7,8,3,4,5
61,0,2,1,6,8,7,3,5,4
62,1,0,2,7,6,8,4,3,5
63,1,2,0,7,8,6,4,5,3
64,2,0,1,8,6,7,5,3,4
65,2,1,0,8,7,6,5,4,3
66,0,1,2,6,7,8,3,4,5
67,0,2,1,6,8,7,3,5,4
68,1,0,2,7,6,8,4,3,5
69,1,2,0,7,8,6,4,5,3
70,2,0,1,8,6,7,5,3,4
71,2,1,0,8,7,6,5,4,3
72,3,4,5,0,1,2,6,7,8
73,3,5,4,0,2,1,6,8,7
74,4,3,5,1,0,2,7,6,8
75,4,5,3,1,2,0,7,8,6
76,5,3,4,2,0,1,8,6,7
77,5,4,3,2,1,0,8,7,6
78,3,4,5,0,1,2,6,7,8
79,3,5,4,0,2,1,6,8,7
80,4,3,5,1,0,2,7,6,8
81,4,5,3,1,2,0,7,8,6
82,5,3,4,2,0,1,8,6,7
83,5,4,3,2,1,0,8,7,6
84,3,4,5,0,1,2,6,7,8
85,3,5,4,0,2,1,6,8,7
86,4,3,5,1,0,2,7,6,8
87,4,5,3,1,2,0,7,8,6
88,5,3,4,2,0,1,8,6,7
89,5,4,3,2,1,0,8,7,6
90,3,4,5,0,1,2,6,7,8
91,3,5,4,0,2,1,6,8,7
92,4,3,5,1,0,2,7,6,8
93,4,5,3,1,2,0,7,8,6
94,5,3,4,2,0,1,8,6,7
95,5,4,3,2,1,0,8,7,6
96,3,4,5,0,1,2,6,7,8
97,3,5,4,0,2,1,6,8,7
98,4,3,5,1,0,2,7,6,8
99,4,5,3,1,2,0,7,8,6
100,5,3,4,2,0,1,8,6,7
101,5,4,3,2,1,0,8,7,6
102,3,4,5,0,1,2,6,7,8
103,3,5,4,0,2,1,6,8,7
104,4,3,5,1,0,2,7,6,8
105,4,5,3,1,2,0,7,8,6
106,5,3,4,2,0,1,8,6,7
107,5,4,3,2,1,0,8,7,6
108,3,4,5,6,7,8,0,1,2
109,3,5,4,6,8,7,0,2,1
110,4,3,5,7,6,8,1,0,2
111,4,5,3,7,8,6,1,2,0
112,5,3,4,8,6,7,2,0,1
113,5,4,3,8,7,6,2,1,0
114,3,4,5,6,7,8,0,1,2
115,3,5,4,6,8,7,0,2,1
116,4,3,5,7,6,8,1,0,2
117,4,5,3,7,8,6,1,2,0
118,5,3,4,8,6,7,2,0,1
119,5,4,3,8,7,6,2,1,0
120,3,4,5,6,7,8,0,1,2
121,3,5,4,6,8,7,0,2,1
122,4,3,5,7,6,8,1,0,2
123,4,5,3,7,8,6,1,2,0
124,5,3,4,8,6,7,2,0,1
125,5,4,3,8,7,6,2,1,0
126,3,4,5,6,7,8,0,1,2
127,3,5,4,6,8,7,0,2,1
128,4,3,5,7,6,8,1,0,2
129,4,5,3,7,8,6,1,2,0
130,5,3,4,8,6,7,2,0,1
131,5,4,3,8,7,6,2,1,0
132,3,4,5,6,7,8,0,1,2
133,3,5,4,6,8,7,0,2,1
134,4,3,5,7,6,8,1,0,2
135,4,5,3,7,8,6,1,2,0
136,5,3,4,8,6,7,2,0,1
137,5,4,3,8,7,6,2,1,0
138,3,4,5,6,7,8,0,1,2
139,3,5,4,6,8,7,0,2,1
140,4,3,5,7,6,8,1,0,2
141,4,5,3,7,8,6,1,2,0
142,5,3,4,8,6,7,2,0,1
143,5,4,3,8,7,6,2,1,0
144,6,7,8,0,1,2,3,4,5
145,6,8,7,0,2,1,3,5,4
146,7,6,8,1,0,2,4,3,5
147,7,8,6,1,2,0,4,5,3
148,8,6,7,2,0,1,5,3,4
149,8,7,6,2,1,0,5,4,3
150,6,7,8,0,1,2,3,4,5
151,6,8,7,0,2,1,3,5,4
152,7,6,8,1,0,2,4,3,5
153,7,8,6,1,2,0,4,5,3
154,8,6,7,2,0,1,5,3,4
155,8,7,6,2,1,0,5,4,3
156,6,7,8,0,1,2,3,4,5
157,6,8,7,0,2,1,3,5,4
158,7,6,8,1,0,2,4,3,5
159,7,8,6,1,2,0,4,5,3
160,8,6,7,2,0,1,5,3,4
161,8,7,6,2,1,0,5,4,3
162,6,7,8,0,1,2,3,4,5
163,6,8,7,0,2,1,3,5,4
164,7,6,8,1,0,2,4,3,5
165,7,8,6,1,2,0,4,5,3
166,8,6,7,2,0,1,5,3,4
167,8,7,6,2,1,0,5,4,3
168,6,7,8,0,1,2,3,4,5
169,6,8,7,0,2,1,3,5,4
170,7,6,8,1,0,2,4,3,5
171,7,8,6,1,2,0,4,5,3
172,8,6,7,2,0,1,5,3,4
173,8,7,6,2,1,0,5,4,3
174,6,7,8,0,1,2,3,4,5
175,6,8,7,0,2,1,3,5,4
176,7,6,8,1,0,2,4,3,5
177,7,8,6,1,2,0,4,5,3
178,8,6,7,2,0,1,5,3,4
179,8,7,6,2,1,0,5,4,3
180,6,7,8,3,4,5,0,1,2
181,6,8,7,3,5,4,0,2,1
182,7,6,8,4,3,5,1,0,2
183,7,8,6,4,5,3,1,2,0
184,8,6,7,5,3,4,2,0,1
185,8,7,6,5,4,3,2,1,0
186,6,7,8,3,4,5,0,1,2
187,6,8,7,3,5,4,0,2,1
188,7,6,8,4,3,5,1,0,2
189,7,8,6,4,5,3,1,2,0
190,8,6,7,5,3,4,2,0,1
191,8,7,6,5,4,3,2,1,0
192,6,7,8,3,4,5,0,1,2
193,6,8,7,3,5,4,0,2,1
194,7,6,8,4,3,5,1,0,2
195,7,8,6,4,5,3,1,2,0
196,8,6,7,5,3,4,2,0,1
197,8,7,6,5,4,3,2,1,0
198,6,7,8,3,4,5,0,1,2
199,6,8,7,3,5,4,0,2,1
200,7,6,8,4,3,5,1,0,2
201,7,8,6,4,5,3,1,2,0
202,8,6,7,5,3,4,2,0,1
203,8,7,6,5,4,3,2,1,0
204,6,7,8,3,4,5,0,1,2
205,6,8,7,3,5,4,0,2,1
206,7,6,8,4,3,5,1,0,2
207,7,8,6,4,5,3,1,2,0
208,8,6,7,5,3,4,2,0,1
209,8,7,6,5,4,3,2,1,0
210,6,7,8,3,4,5,0,1,2
211,6,8,7,3,5,4,0,2,1
212,7,6,8,4,3,5,1,0,2
213,7,8,6,4,5,3,1,2,0
214,8,6,7,5,3,4,2,0,1
215,8,7,6,5,4,3,2,1,0
