action_id,img_0,img_1,img_2,img_3,img_4,img_5,img_6,img_7,img_8
0,0,1,2,3,4,5,6,7,8
1,0,2,1,3,5,4,6,8,7
2,1,0,2,4,3,5,7,6,8
3,1,2,0,4,5,3,7,8,6
4,2,0,1,5,3,4,8,6,7
5,2,1,0,5,4,3,8,7,6
6,0,1,2,6,7,8,3,4,5
7,0,2,1,6,8,7,3,5,4
8,1,0,2,7,6,8,4,3,5
9,1,2,0,7,8,6,4,5,3
10,2,0,1,8,6,7,5,3,4
11,2,1,0,8,7,6,5,4,3
12,3,4,5,0,1,2,6,7,8
13,3,5,4,0,2,1,6,8,7
14,4,3,5,1,0,2,7,6,8
15,4,5,3,1,2,0,7,8,6
16,5,3,4,2,0,1,8,6,7
17,5,4,3,2,1,0,8,7,6
18,3,4,5,6,7,8,0,1,2
19,3,5,4,6,8,7,0,2,1
20,4,3,5,7,6,8,1,0,2
21,4,5,3,7,8,6,1,2,0
22,5,3,4,8,6,7,2,0,1
23,5,4,3,8,7,6,2,1,0
24,6,7,8,0,1,2,3,4,5
25,6,8,7,0,2,1,3,5,4
26,7,6,8,1,0,2,4,3,5
27,7,8,6,1,2,0,4,5,3
28,8,6,7,2,0,1,5,3,4
29,8,7,6,2,1,0,5,4,3
30,6,7,8,3,4,5,0,1,2
31,6,8,7,3,5,4,0,2,1
32,7,6,8,4,3,5,1,0,2
33,7,8,6,4,5,3,1,2,0
34,8,6,7,5,3,4,2,0,1
35,8,7,6,5,4,3,2,1,0
36,0,1,2,3,4,5,6,7,8
37,0,2,1,3,5,4,6,8,7
38,1,0,2,4,3,5,7,6,8
39,1,2,0,4,5,3,7,8,6
40,2,0,1,5,3,4,8,6,7
41,2,1,0,5,4,3,8,7,6
42,0,1,2,6,7,8,3,4,5
43,0,2,1,6,8,7,3,5,4
44,1,0,2,7,6,8,4,3,5
45,1,2,0,7,8,6,4,5,3
46,2,0,1,8,6,7,5,3,4
47,2,1,0,8,7,6,5,4,3
48,3,4,5,0,1,2,6,7,8
49,3,5,4,0,2,1,6,8,7
50,4,3,5,1,0,2,7,6,8
51,4,5,3,1,2,0,7,8,6
52,5,3,4,2,0,1,8,6,7
53,5,4,3,2,1,0,8,7,6
54,3,4,5,6,7,8,0,1,2
55,3,5,4,6,8,7,0,2,1
56,4,3,5,7,6,8,1,0,2
57,4,5,3,7,8,6,1,2,0
58,5,3,4,8,6,7,2,0,1
59,5,4,3,8,7,6,2,1,0
60,6,7,8,0,1,2,3,4,5
61,6,8,7,0,2,1,3,5,4
62,7,6,8,1,0,2,4,3,5
63,7,8,6,1,2,0,4,5,3
64,8,6,7,2,0,1,5,3,4
65,8,7,6,2,1,0,5,4,3
66,6,7,8,3,4,5,0,1,2
67,6,8,7,3,5,4,0,2,1
68,7,6,8,4,3,5,1,0,2
69,7,8,6,4,5,3,1,2,0
70,8,6,7,5,3,4,2,0,1
71,8,7,6,5,4,3,2,1,0
72,0,1,2,3,4,5,6,7,8
73,0,2,1,3,5,4,6,8,7
74,1,0,2,4,3,5,7,6,8
75,1,2,0,4,5,3,7,8,6
76,2,0,1,5,3,4,8,6,7
77,2,1,0,5,4,3,8,7,6
78,0,1,2,6,7,8,3,4,5
79,0,2,1,6,8,7,3,5,4
80,1,0,2,7,6,8,4,3,5
81,1,2,0,7,8,6,4,5,3
82,2,0,1,8,6,7,5,3,4
83,2,1,0,8,7,6,5,4,3
84,3,4,5,0,1,2,6,7,8
85,3,5,4,0,2,1,6,8,7
86,4,3,5,1,0,2,7,6,8
87,4,5,3,1,2,0,7,8,6
88,5,3,4,2,0,1,8,6,7
89,5,4,3,2,1,0,8,7,6
90,3,4,5,6,7,8,0,1,2
91,3,5,4,6,8,7,0,2,1
92,4,3,5,7,6,8,1,0,2
93,4,5,3,7,8,6,1,2,0
94,5,3,4,8,6,7,2,0,1
95,5,4,3,8,7,6,2,1,0
96,6,7,8,0,1,2,3,4,5
97,6,8,7,0,2,1,3,5,4
98,7,6,8,1,0,2,4,3,5
99,7,8,6,1,2,0,4,5,3
100,8,6,7,2,0,1,5,3,4
101,8,7,6,2,1,0,5,4,3
102,6,7,8,3,4,5,0,1,2
103,6,8,7,3,5,4,0,2,1
104,7,6,8,4,3,5,1,0,2
105,7,8,6,4,5,3,1,2,0
106,8,6,7,5,3,4,2,0,1
107,8,7,6,5,4,3,2,1,0
108,0,1,2,3,4,5,6,7,8
109,0,2,1,3,5,4,6,8,7
110,1,0,2,4,3,5,7,6,8
111,1,2,0,4,5,3,7,8,6
112,2,0,1,5,3,4,8,6,7
113,2,1,0,5,4,3,8,7,6
114,0,1,2,6,7,8,3,4,5
115,0,2,1,6,8,7,3,5,4
116,1,0,2,7,6,8,4,3,5
117,1,2,0,7,8,6,4,5,3
118,2,0,1,8,6,7,5,3,4
119,2,1,0,8,7,6,5,4,3
120,3,4,5,0,1,2,6,7,8
121,3,5,4,0,2,1,6,8,7
122,4,3,5,1,0,2,7,6,8
123,4,5,3,1,2,0,7,8,6
124,5,3,4,2,0,1,8,6,7
125,5,4,3,2,1,0,8,7,6
126,3,4,5,6,7,8,0,1,2
127,3,5,4,6,8,7,0,2,1
128,4,3,5,7,6,8,1,0,2
129,4,5,3,7,8,6,1,2,0
130,5,3,4,8,6,7,2,0,1
131,5,4,3,8,7,6,2,1,0
132,6,7,8,0,1,2,3,4,5
133,6,8,7,0,2,1,3,5,4
134,7,6,8,1,0,2,4,3,5
135,7,8,6,1,2,0,4,5,3
136,8,6,7,2,0,1,5,3,4
137,8,7,6,2,1,0,5,4,3
138,6,7,8,3,4,5,0,1,2
139,6,8,7,3,5,4,0,2,1
140,7,6,8,4,3,5,1,0,2
141,7,8,6,4,5,3,1,2,0
142,8,6,7,5,3,4,2,0,1
143,8,7,6,5,4,3,2,1,0
144,0,1,2,3,4,5,6,7,8
145,0,2,1,3,5,4,6,8,7
146,1,0,2,4,3,5,7,6,8
147,1,2,0,4,5,3,7,8,6
148,2,0,1,5,3,4,8,6,7
149,2,1,0,5,4,3,8,7,6
150,0,1,2,6,7,8,3,4,5
151,0,2,1,6,8,7,3,5,4
152,1,0,2,7,6,8,4,3,5
153,1,2,0,7,8,6,4,5,3
154,2,0,1,8,6,7,5,3,4
155,2,1,0,8,7,6,5,4,3
156,3,4,5,0,1,2,6,7,8
157,3,5,4,0,2,1,6,8,7
158,4,3,5,1,0,2,7,6,8
159,4,5,3,1,2,0,7,8,6
160,5,3,4,2,0,1,8,6,7
161,5,4,3,2,1,0,8,7,6
162,3,4,5,6,7,8,0,1,2
163,3,5,4,6,8,7,0,2,1
164,4,3,5,7,6,8,1,0,2
165,4,5,3,7,8,6,1,2,0
166,5,3,4,8,6,7,2,0,1
167,5,4,3,8,7,6,2,1,0
168,6,7,8,0,1,2,3,4,5
169,6,8,7,0,2,1,3,5,4
170,7,6,8,1,0,2,4,3,5
171,7,8,6,1,2,0,4,5,3
172,8,6,7,2,0,1,5,3,4
173,8,7,6,2,1,0,5,4,3
174,6,7,8,3,4,5,0,1,2
175,6,8,7,3,5,4,0,2,1
176,7,6,8,4,3,5,1,0,2
177,7,8,6,4,5,3,1,2,0
178,8,6,7,5,3,4,2,0,1
179,8,7,6,5,4,3,2,1,0
180,0,1,2,3,4,5,6,7,8
181,0,2,1,3,5,4,6,8,7
182,1,0,2,4,3,5,7,6,8
183,1,2,0,4,5,3,7,8,6
184,2,0,1,5,3,4,8,6,7
185,2,1,0,5,4,3,8,7,6
186,0,1,2,6,7,8,3,4,5
187,0,2,1,6,8,7,3,5,4
188,1,0,2,7,6,8,4,3,5
189,1,2,0,7,8,6,4,5,3
190,2,0,1,8,6,7,5,3,4
191,2,1,0,8,7,6,5,4,3
192,3,4,5,0,1,2,6,7,8
193,3,5,4,0,2,1,6,8,7
194,4,3,5,1,0,2,7,6,8
195,4,5,3,1,2,0,7,8,6
196,5,3,4,2,0,1,8,6,7
197,5,4,3,2,1,0,8,7,6
198,3,4,5,6,7,8,0,1,2
199,3,5,4,6,8,7,0,2,1
200,4,3,5,7,6,8,1,0,2
201,4,5,3,7,8,6,1,2,0
202,5,3,4,8,6,7,2,0,1
203,5,4,3,8,7,6,2,1,0
204,6,7,8,0,1,2,3,4,5
205,6,8,7,0,2,1,3,5,4
206,7,6,8,1,0,2,4,3,5
207,7,8,6,1,2,0,4,5,3
208,8,6,7,2,0,1,5,3,4
209,8,7,6,2,1,0,5,4,3
210,6,7,8,3,4,5,0,1,2
211,6,8,7,3,5,4,0,2,1
212,7,6,8,4,3,5,1,0,2
213,7,8,6,4,5,3,1,2,0
214,8,6,7,5,3,4,2,0,1
215,8,7,6,5,4,3,2,1,0
