A_orbit,B_orbit,A_stab_type,B_stab_type,total_pairs,output_in_floor,output_outside_floor,output_orbit_ids,output_counts
0,0,(Z2)^3,(Z2)^3,27,27,0,[0],{0: 27}
0,4,(Z2)^3,Z2xZ2,54,54,0,[4],{4: 54}
0,10,(Z2)^3,Z2xZ2,54,54,0,[10],{10: 54}
0,20,(Z2)^3,Z2xZ2,54,54,0,[20],{20: 54}
0,30,(Z2)^3,Z2xZ2,54,54,0,[30],{30: 54}
0,40,(Z2)^3,Z2xZ2,54,54,0,[40],{40: 54}
0,50,(Z2)^3,Z2xZ2,54,54,0,[50],{50: 54}
1,1,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
1,5,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
1,6,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
2,2,Z2xZ2,Z2xZ2,54,54,0,[2],{2: 54}
2,52,Z2xZ2,Z2xZ2,54,54,0,[52],{52: 54}
2,54,Z2xZ2,Z2xZ2,54,54,0,[54],{54: 54}
4,125,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
4,131,Z2xZ2,Z2xZ2,54,54,0,[4],{4: 54}
4,137,Z2xZ2,Z2xZ2,54,54,0,[4],{4: 54}
5,126,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
5,132,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
5,138,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
6,127,Z2xZ2,Z2xZ2,54,54,0,[1],{1: 54}
6,133,Z2xZ2,Z2xZ2,54,54,0,[6],{6: 54}
6,139,Z2xZ2,Z2xZ2,54,54,0,[5],{5: 54}
10,350,Z2xZ2,Z2xZ2,54,54,0,[0],{0: 54}
10,360,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
10,370,Z2xZ2,Z2xZ2,54,54,0,[10],{10: 54}
10,380,Z2xZ2,Z2xZ2,54,54,0,[20],{20: 54}
10,390,Z2xZ2,Z2xZ2,54,54,0,[30],{30: 54}
10,400,Z2xZ2,Z2xZ2,54,54,0,[40],{40: 54}
